"address","mtgroup","lat","long","mtlocation","wheelchair","mtday","mtstart","mtend","mttype","mtspin","mtzone"
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Sunday","11:00 AM","12:00 PM","BB","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Friday","11:30 AM","12:30 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Thursday","11:30 AM","12:30 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Wednesday","11:30 AM","12:30 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Tuesday","11:30 AM","12:30 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Monday","11:30 AM","12:30 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Saturday","12:45 PM","1:45 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Friday","12:45 PM","1:45 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Thursday","12:45 PM","1:45 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Wednesday","12:45 PM","1:45 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Tuesday","12:45 PM","1:45 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Monday","12:45 PM","1:45 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Sunday","12:45 PM","1:45 PM","S","First Step Workshop",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Sunday","3:00 PM","4:00 PM","C","Women",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Friday","3:15 PM","4:15 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Thursday","3:15 PM","4:15 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Wednesday","3:15 PM","4:15 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Tuesday","3:15 PM","4:15 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Monday","3:15 PM","4:15 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Saturday","5:30 PM","6:30 PM","B","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Sunday","6:15 PM","7:00 PM","B","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Friday","6:15 PM","7:15 PM","B","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Thursday","6:15 PM","7:15 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Wednesday","6:15 PM","7:15 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Tuesday","6:15 PM","7:15 PM","B","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Wednesday","6:15 PM","7:15 PM","BB","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Monday","6:15 PM","7:15 PM","B","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Tuesday","6:15 PM","7:15 PM","S","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Friday","7:30 PM","8:30 PM","OD","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Saturday","7:30 PM","8:30 PM","null","Meditation",5
